"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 07-Jul-2023"
"NIFTY 500","23,029.35","23,040.75","22,897.95","22,987.65","22,971.15","-16.50","-0.07","3,70,34,29,691","1,18,676.43","23,040.75","16,466.25","5.62","38.77"
"RVNL","508.00","578.95","508.00","491.05","567.50","76.45","15.57","17,83,60,632","9,901.69","578.95","117.05","31.10","302.83"
"RCF","205.18","233.00","205.00","203.94","231.00","27.06","13.27","5,35,84,185","1,177.62","233.00","105.25","32.04","75.28"
"FACT","1,025.05","1,118.95","1,020.00","1,017.25","1,118.95","101.70","10.00","43,86,234","476.15","1,187.00","413.15","45.31","116.83"
"PAYTM","440.20","479.90","440.20","436.55","472.95","36.40","8.34","1,26,98,807","592.27","998.30","310.00","14.49","-48.68"
"IRFC","193.50","206.00","193.50","188.23","202.50","14.27","7.58","26,09,60,455","5,261.75","206.00","32.35","8.43","468.67"
"GESHIP","1,303.35","1,449.95","1,303.35","1,267.80","1,354.00","86.20","6.80","69,76,979","959.08","1,449.95","722.50","9.50","70.98"
"GSFC","244.14","258.90","243.32","243.48","258.25","14.77","6.07","1,26,63,863","321.13","322.25","146.15","16.08","45.88"
"IRCON","311.90","334.50","310.75","307.75","326.25","18.50","6.01","6,96,90,983","2,275.62","334.50","79.00","22.66","275.08"
"FSL","239.13","254.65","239.13","235.71","249.57","13.86","5.88","1,12,18,038","279.33","254.65","124.50","19.68","85.09"
"METROBRAND","1,315.00","1,398.00","1,279.05","1,217.45","1,285.00","67.55","5.55","29,50,894","395.33","1,441.20","960.25","5.33","20.05"
"PNCINFRA","486.50","509.80","484.00","481.50","507.90","26.40","5.48","20,52,553","102.30","574.80","310.10","-8.73","37.02"
"GMDCLTD","402.00","436.20","402.00","401.45","423.25","21.80","5.43","1,67,86,494","714.70","506.00","165.05","5.90","141.40"
"HBLPOWER","590.00","621.00","581.05","569.65","599.50","29.85","5.24","66,16,055","399.66","621.00","152.30","20.34","241.11"
"SWANENERGY","692.60","692.60","692.60","659.65","692.60","32.95","5.00","3,81,237","26.40","782.25","214.25","12.05","151.87"
"OLECTRA","1,820.00","1,948.00","1,819.50","1,823.35","1,912.00","88.65","4.86","43,51,214","829.98","2,221.95","985.10","4.30","48.01"
"RECLTD","582.95","615.55","582.00","580.45","608.50","28.05","4.83","2,97,44,866","1,796.80","615.55","159.15","16.84","249.88"
"NATIONALUM","199.80","207.50","198.63","199.02","207.30","8.28","4.16","2,56,66,049","521.30","207.50","82.65","7.40","140.07"
"SUNTECK","544.30","563.00","517.60","539.60","562.00","22.40","4.15","10,86,623","58.90","619.40","284.80","6.24","61.29"
"ONGC","290.00","303.00","287.35","288.20","300.15","11.95","4.15","5,31,36,198","1,572.88","303.00","162.50","10.68","76.27"
"JBMA","2,158.00","2,319.75","2,130.70","2,149.60","2,238.65","89.05","4.14","12,63,222","285.21","2,428.35","1,113.35","6.17","59.38"
"BHEL","317.30","329.95","315.55","316.40","329.50","13.10","4.14","4,56,85,018","1,482.43","329.95","89.25","10.82","245.41"
"TIINDIA","4,254.00","4,405.00","4,171.10","4,231.80","4,404.00","172.20","4.07","2,71,201","115.58","4,424.90","2,758.00","7.66","32.83"
"JYOTHYLAB","477.40","493.80","470.00","471.45","490.50","19.05","4.04","15,70,215","76.16","554.00","228.15","4.96","97.96"
"MARICO","632.00","655.80","629.00","615.35","640.05","24.70","4.01","78,13,665","502.66","667.20","486.30","-5.77","19.01"
"KPIL","1,237.95","1,284.70","1,229.95","1,228.00","1,274.70","46.70","3.80","14,94,325","189.08","1,342.60","538.30","-2.89","121.70"
"GICRE","405.80","422.85","393.25","402.60","417.80","15.20","3.78","47,76,334","198.04","467.80","182.50","10.59","118.33"
"GODREJCP","1,380.45","1,439.70","1,372.30","1,373.80","1,425.00","51.20","3.73","24,71,142","350.99","1,467.10","959.80","-3.79","29.29"
"HINDCOPPER","333.50","343.75","331.15","330.80","342.85","12.05","3.64","1,46,93,579","496.88","415.80","115.85","-2.79","176.82"
"GAIL","223.50","231.44","221.27","222.96","230.84","7.88","3.53","2,81,99,193","640.12","233.20","106.10","4.82","101.41"
"BEL","328.45","335.80","325.60","324.05","335.50","11.45","3.53","7,09,83,243","2,354.16","335.80","121.90","14.42","161.23"
"PCBL","268.80","277.00","267.20","261.80","271.00","9.20","3.51","46,80,445","127.03","343.50","151.25","11.05","63.73"
"CHAMBLFERT","522.00","535.85","519.00","517.65","535.30","17.65","3.41","78,68,256","417.00","574.35","250.05","26.91","88.72"
"EMAMILTD","729.80","769.90","720.85","724.20","748.50","24.30","3.36","22,02,935","165.67","775.00","410.00","0.27","71.98"
"ALKEM","5,090.00","5,243.70","5,063.00","5,063.55","5,230.00","166.45","3.29","2,72,224","140.70","5,578.80","3,447.00","2.17","45.06"
"SIGNATURE","1,549.00","1,559.80","1,515.00","1,499.30","1,548.00","48.70","3.25","11,43,703","175.55","1,559.80","444.00","16.88","-"
"JINDALSAW","552.00","577.00","549.15","552.00","569.00","17.00","3.08","16,45,857","93.58","598.00","262.75","-0.57","93.04"
"GMRINFRA","96.23","99.40","95.00","96.23","99.19","2.96","3.08","2,42,69,090","235.94","101.25","43.55","10.99","113.13"
"DABUR","610.40","633.00","610.40","606.45","624.30","17.85","2.94","72,79,634","455.96","633.40","489.20","-1.08","5.99"
"PFC","538.00","559.75","536.40","534.25","549.80","15.55","2.91","2,07,39,673","1,137.72","559.75","174.08","10.48","141.41"
"NLCINDIA","268.75","275.30","264.17","261.43","269.00","7.57","2.90","1,54,95,824","419.29","293.75","106.00","18.21","142.85"
